Name,Franchise_Name,Is_Franchise,Platform,Year,Release_Month,Genre,Publisher,Developer,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Kinect Adventures!,Kinect Adventures!,0,X360,2010.0,11.0,Misc,Microsoft Game Studios,Good Science Studio,E,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0
Wii Fit Plus,Wii Fit Plus,0,Wii,2009.0,10.0,Sports,Nintendo,Nintendo,E,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0
Grand Theft Auto V,Grand Theft Auto,1,PS3,2013.0,9.0,Action,Take-Two Interactive,Rockstar North,M,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0
Grand Theft Auto: San Andreas,Grand Theft Auto,1,PS2,2004.0,10.0,Action,Take-Two Interactive,Rockstar North,M,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9,1588.0
Super Mario World,Super Mario World,1,SNES,1990.0,8.0,Platform,Nintendo,,,12.78,3.75,3.54,0.55,20.61,,,,
Brain Age: Train Your Brain in Minutes a Day,Brain Age,1,DS,2005.0,4.0,Misc,Nintendo,Nintendo,E,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0
Pokemon Diamond/Pokemon Pearl,Pokemon Diamond/Pokemon Pearl,0,DS,2006.0,,Role-Playing,Nintendo,,,6.38,4.46,6.04,1.36,18.25,,,,
Super Mario Land,Super Mario Land,1,GB,1989.0,8.0,Platform,Nintendo,,,10.83,2.71,4.18,0.42,18.14,,,,
Super Mario Bros. 3,Super Mario Bros.,1,NES,1988.0,2.0,Platform,Nintendo,,,9.54,3.44,3.84,0.46,17.28,,,,
Grand Theft Auto V,Grand Theft Auto,1,X360,2013.0,9.0,Action,Take-Two Interactive,Rockstar North,M,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0
Grand Theft Auto: Vice City,Grand Theft Auto,1,PS2,2002.0,10.0,Action,Take-Two Interactive,Rockstar North,M,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0
Pokemon Ruby/Pokemon Sapphire,Pokemon Ruby/Pokemon Sapphire,0,GBA,2002.0,,Role-Playing,Nintendo,,,6.06,3.9,5.38,0.5,15.85,,,,
Brain Age 2: More Training in Minutes a Day,Brain Age,1,DS,2005.0,8.0,Puzzle,Nintendo,Nintendo,E,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0
Pokemon Black/Pokemon White,Pokemon Black/Pokemon White,0,DS,2010.0,,Role-Playing,Nintendo,,,5.51,3.17,5.65,0.8,15.14,,,,
Gran Turismo 3: A-Spec,Gran Turismo,1,PS2,2001.0,7.0,Racing,Sony Computer Entertainment,Polyphony Digital,E,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0
Call of Duty: Modern Warfare 3,Call of Duty,1,X360,2011.0,11.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0
Pokémon Yellow: Special Pikachu Edition,Pokémon Yellow,0,GB,1998.0,10.0,Role-Playing,Nintendo,,,5.89,5.04,3.12,0.59,14.64,,,,
Call of Duty: Black Ops 3,Call of Duty,1,PS4,2015.0,11.0,Shooter,Activision,,,6.03,5.86,0.36,2.38,14.63,,,,
Call of Duty: Black Ops,Call of Duty,1,X360,2010.0,11.0,Shooter,Activision,Treyarch,M,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0
Pokemon X/Pokemon Y,Pokemon X/Pokemon Y,0,3DS,2013.0,,Role-Playing,Nintendo,,,5.28,4.19,4.35,0.78,14.6,,,,
Call of Duty: Black Ops II,Call of Duty,1,PS3,2012.0,11.0,Shooter,Activision,Treyarch,M,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0
Call of Duty: Black Ops II,Call of Duty,1,X360,2012.0,11.0,Shooter,Activision,Treyarch,M,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0
Call of Duty: Modern Warfare 2,Call of Duty,1,X360,2009.0,11.0,Shooter,Activision,Infinity Ward,M,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0
Call of Duty: Modern Warfare 3,Call of Duty,1,PS3,2011.0,11.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0
Grand Theft Auto III,Grand Theft Auto,1,PS2,2001.0,10.0,Action,Take-Two Interactive,DMA Design,M,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0
Super Smash Bros. Brawl,Super Smash Bros. Brawl,0,Wii,2008.0,3.0,Fighting,Nintendo,Game Arts,T,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0
Mario Kart 7,Mario Kart,1,3DS,2011.0,12.0,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0
Call of Duty: Black Ops,Call of Duty,1,PS3,2010.0,11.0,Shooter,Activision,Treyarch,M,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0
Grand Theft Auto V,Grand Theft Auto,1,PS4,2014.0,11.0,Action,Take-Two Interactive,Rockstar North,M,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0
Animal Crossing: Wild World,Animal Crossing,1,DS,2005.0,12.0,Simulation,Nintendo,Nintendo,E,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0
Halo 3,Halo,1,X360,2007.0,9.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0
Super Mario 64,Super Mario,1,N64,1996.0,9.0,Platform,Nintendo,,,6.91,2.85,1.91,0.23,11.89,,,,
Pokemon HeartGold/Pokemon SoulSilver,Pokemon HeartGold/Pokemon SoulSilver,0,DS,2009.0,,Action,Nintendo,,,4.34,2.71,3.96,0.76,11.77,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Pokemon Omega Ruby/Pokemon Alpha Sapphire,0,3DS,2014.0,,Role-Playing,Nintendo,,,4.35,3.49,3.1,0.74,11.68,,,,
Gran Turismo 4,Gran Turismo,1,PS2,2004.0,2.0,Racing,Sony Computer Entertainment,Polyphony Digital,E,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0
Super Mario Galaxy,Super Mario Galaxy,1,Wii,2007.0,11.0,Platform,Nintendo,Nintendo,E,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0
Super Mario Land 2: 6 Golden Coins,Super Mario Land,1,GB,1992.0,11.0,Adventure,Nintendo,,,6.16,2.04,2.69,0.29,11.18,,,,
Grand Theft Auto IV,Grand Theft Auto,1,X360,2008.0,4.0,Action,Take-Two Interactive,Rockstar North,M,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0
Gran Turismo,Gran Turismo,1,PS,1997.0,4.0,Racing,Sony Computer Entertainment,Polyphony Digital,E,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0
Super Mario 3D Land,Super Mario 3D Land,0,3DS,2011.0,11.0,Platform,Nintendo,Nintendo,E,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0
Gran Turismo 5,Gran Turismo,1,PS3,2010.0,11.0,Racing,Sony Computer Entertainment,Polyphony Digital,E,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0
Call of Duty: Modern Warfare 2,Call of Duty,1,PS3,2009.0,11.0,Shooter,Activision,Infinity Ward,M,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0
Super Mario All-Stars,Super Mario All-Stars,1,SNES,1993.0,8.0,Platform,Nintendo,,,5.99,2.15,2.12,0.29,10.55,,,,
Grand Theft Auto IV,Grand Theft Auto,1,PS3,2008.0,4.0,Action,Take-Two Interactive,Rockstar North,M,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0
Pokemon FireRed/Pokemon LeafGreen,Pokemon FireRed/Pokemon LeafGreen,0,GBA,2004.0,,Role-Playing,Nintendo,,,4.34,2.65,3.15,0.35,10.49,,,,
Super Mario 64,Super Mario,1,DS,2004.0,,Platform,Nintendo,,,5.01,3.07,1.25,0.97,10.3,,,,
Call of Duty: Ghosts,Call of Duty,1,X360,2013.0,11.0,Shooter,Activision,Infinity Ward,M,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0
Just Dance 3,Just Dance,1,Wii,2011.0,10.0,Misc,Ubisoft,Ubisoft,E10+,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0
New Super Mario Bros. 2,New Super Mario Bros.,1,3DS,2012.0,8.0,Platform,Nintendo,Nintendo,E,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0
Mario Kart 64,Mario Kart,1,N64,1996.0,2.0,Racing,Nintendo,,,5.55,1.94,2.23,0.15,9.87,,,,
Halo: Reach,Halo,1,X360,2010.0,9.0,Shooter,Microsoft Game Studios,Bungie,M,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0
Final Fantasy VII,Final Fantasy,1,PS,1997.0,9.0,Role-Playing,Sony Computer Entertainment,SquareSoft,T,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0
Halo 4,Halo,1,X360,2012.0,11.0,Shooter,Microsoft Game Studios,343 Industries,M,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7,3260.0
Gran Turismo 2,Gran Turismo,1,PS,1999.0,1.0,Racing,Sony Computer Entertainment,Polyphony Digital,T,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9,135.0
Just Dance 2,Just Dance,1,Wii,2010.0,10.0,Misc,Ubisoft,Ubisoft,E10+,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0
Call of Duty: Ghosts,Call of Duty,1,PS3,2013.0,11.0,Shooter,Activision,Infinity Ward,M,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0
Call of Duty 4: Modern Warfare,Call of Duty,1,X360,2007.0,11.0,Shooter,Activision,Infinity Ward,M,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0
Donkey Kong Country,Donkey Kong Country,1,SNES,1994.0,11.0,Platform,Nintendo,,,4.36,1.71,3.0,0.23,9.3,,,,
Minecraft,Minecraft,1,X360,2013.0,6.0,Misc,Microsoft Game Studios,,,5.7,2.65,0.02,0.81,9.18,,,,
Animal Crossing: New Leaf,Animal Crossing,1,3DS,2012.0,6.0,Simulation,Nintendo,Nintendo,E,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0
Mario Party DS,Mario Party DS,0,DS,2007.0,11.0,Misc,Nintendo,Hudson Soft,E,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0
The Elder Scrolls V: Skyrim,The Elder Scrolls,1,X360,2011.0,11.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0
Super Mario Kart,Super Mario Kart,0,SNES,1992.0,9.0,Racing,Nintendo,,,3.54,1.24,3.81,0.18,8.76,,,,
FIFA 16,FIFA,1,PS4,2015.0,9.0,Sports,Electronic Arts,EA Sports,E,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0
Halo 2,Halo,1,XB,2004.0,11.0,Shooter,Microsoft Game Studios,Bungie Software,M,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0
Wii Party,Wii Party,0,Wii,2010.0,10.0,Misc,Nintendo,Nd Cube,E,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0
Mario Party 8,Mario Party,1,Wii,2007.0,5.0,Misc,Nintendo,Hudson,E,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0
FIFA Soccer 13,FIFA Soccer,1,PS3,2012.0,,Action,Electronic Arts,Electronic Arts,E,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0
GoldenEye 007,GoldenEye 007,0,N64,1997.0,8.0,Shooter,Nintendo,,,5.8,2.01,0.13,0.15,8.09,,,,
Pokemon Black 2/Pokemon White 2,Pokemon Black 2/Pokemon White,0,DS,2012.0,,Role-Playing,Nintendo,,,2.79,1.72,3.14,0.41,8.07,,,,
Final Fantasy X,Final Fantasy,1,PS2,2001.0,12.0,Role-Playing,Sony Computer Entertainment,SquareSoft,T,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0
The Sims 3,The Sims,1,PC,2009.0,6.0,Simulation,Electronic Arts,The Sims Studio,T,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0
Mario & Sonic at the Olympic Games,Mario & Sonic at the Olympic Games,1,Wii,2007.0,11.0,Sports,Sega,,,2.57,3.86,0.66,0.91,7.99,,,,
Star Wars Battlefront (2015),Star Wars Battlefront (2015),1,PS4,2015.0,11.0,Shooter,Electronic Arts,,,2.99,3.49,0.22,1.28,7.98,,,,
Final Fantasy VIII,Final Fantasy,1,PS,1999.0,9.0,Role-Playing,SquareSoft,SquareSoft,T,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0
Pac-Man,Pac-Man,1,2600,1982.0,3.0,Puzzle,Atari,,,7.28,0.45,0.0,0.08,7.81,,,,
Pokémon Platinum Version,Pokémon Platinum Version,0,DS,2008.0,3.0,Role-Playing,Nintendo,Game Freak,E,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0
Grand Theft Auto: Liberty City Stories,Grand Theft Auto,1,PSP,2005.0,10.0,Action,Take-Two Interactive,Rockstar Leeds,M,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0
Call of Duty: Advanced Warfare,Call of Duty,1,PS4,2014.0,11.0,Shooter,Activision,Sledgehammer Games,M,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0
The Legend of Zelda: Ocarina of Time,The Legend of Zelda,1,N64,1998.0,11.0,Action,Nintendo,,,4.1,1.89,1.45,0.16,7.6,,,,
FIFA 17,FIFA,1,PS4,2016.0,9.0,Sports,Electronic Arts,"EA Sports, EA Vancouver",E,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0
Crash Bandicoot 2: Cortex Strikes Back,Crash Bandicoot,1,PS,1997.0,10.0,Platform,Sony Computer Entertainment,,,3.78,2.17,1.31,0.31,7.58,,,,
Super Smash Bros. for Wii U and 3DS,Super Smash Bros. for Wii U and 3DS,1,3DS,2014.0,,Fighting,Nintendo,,,3.27,1.37,2.43,0.48,7.55,,,,
Super Mario Galaxy 2,Super Mario Galaxy,1,Wii,2010.0,5.0,Platform,Nintendo,Nintendo EAD Tokyo,E,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0
Super Mario Bros. 2,Super Mario Bros.,1,NES,1988.0,10.0,Platform,Nintendo,,,5.39,1.18,0.7,0.19,7.46,,,,
Call of Duty: Black Ops 3,Call of Duty,1,XOne,2015.0,11.0,Shooter,Activision,,,4.59,2.11,0.01,0.68,7.39,,,,
Call of Duty: World at War,Call of Duty,1,X360,2008.0,11.0,Shooter,Activision,Treyarch,M,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0
Battlefield 3,Battlefield,1,X360,2011.0,10.0,Shooter,Electronic Arts,EA DICE,M,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0
Need for Speed Underground,Need for Speed Underground,1,PS2,2003.0,11.0,Racing,Electronic Arts,EA Black Box,E,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0
Just Dance,Just Dance,1,Wii,2009.0,11.0,Misc,Ubisoft,Ubisoft Paris,E10+,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8,110.0
Battlefield 3,Battlefield,1,PS3,2011.0,10.0,Shooter,Electronic Arts,EA DICE,M,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0
Fallout 4,Fallout,1,PS4,2015.0,11.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0
Tekken 3,Tekken,1,PS,1998.0,4.0,Fighting,Sony Computer Entertainment,Namco,T,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0
The Legend of Zelda: Twilight Princess,The Legend of Zelda,1,Wii,2006.0,11.0,Action,Nintendo,Nintendo,T,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9,1658.0
Pokemon Sun/Moon,Pokemon Sun/Moon,0,3DS,2016.0,,Role-Playing,Nintendo,,,2.98,1.45,2.26,0.45,7.14,,,,
Crash Bandicoot 3: Warped,Crash Bandicoot,1,PS,1998.0,10.0,Platform,Sony Computer Entertainment,Naughty Dog,E,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0
Mario Kart 8,Mario Kart,1,WiiU,2014.0,5.0,Racing,Nintendo,Nintendo,E,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0
Super Smash Bros. Melee,Super Smash Bros. Melee,0,GC,2001.0,12.0,Fighting,Nintendo,HAL Labs,T,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0
Mario Kart: Double Dash!!,Mario Kart,1,GC,2003.0,11.0,Racing,Nintendo,,,4.12,1.77,0.87,0.19,6.95,,,,
Need for Speed Underground 2,Need for Speed Underground,1,PS2,2004.0,11.0,Racing,Electronic Arts,EA Canada,E,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0
Medal of Honor: Frontline,Medal of Honor,1,PS2,2002.0,5.0,Shooter,Electronic Arts,EA LA,T,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0
Crash Bandicoot,Crash Bandicoot,1,PS,1996.0,9.0,Platform,Sony Computer Entertainment,,,3.23,2.35,0.94,0.3,6.82,,,,
Just Dance 4,Just Dance,1,Wii,2012.0,10.0,Misc,Ubisoft,Ubisoft,E10+,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0
Gears of War 2,Gears of War,1,X360,2008.0,11.0,Shooter,Microsoft Game Studios,Epic Games,M,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0
Uncharted 3: Drake's Deception,Uncharted,1,PS3,2011.0,11.0,Action,Sony Computer Entertainment,Naughty Dog,T,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0
Zumba Fitness,Zumba Fitness,1,Wii,2010.0,11.0,Sports,505 Games,"Pipeworks Software, Inc.",E,3.45,2.59,0.0,0.66,6.71,,,tbd,
Call of Duty 4: Modern Warfare,Call of Duty,1,PS3,2007.0,11.0,Shooter,Activision,Infinity Ward,M,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0
Uncharted 2: Among Thieves,Uncharted,1,PS3,2009.0,10.0,Action,Sony Computer Entertainment,Naughty Dog,T,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0
FIFA 12,FIFA,1,PS3,2011.0,,Sports,Electronic Arts,,,0.84,4.3,0.11,1.39,6.65,,,,
Big Brain Academy,Big Brain Academy,1,DS,2005.0,6.0,Misc,Nintendo,Nintendo,E,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0
The Legend of Zelda,The Legend of Zelda,1,NES,1986.0,8.0,Action,Nintendo,,,3.74,0.93,1.69,0.14,6.51,,,,
Red Dead Redemption,Red Dead Redemption,1,PS3,2010.0,10.0,Action,Take-Two Interactive,Rockstar San Diego,M,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0
FIFA 14,FIFA,1,PS3,2013.0,9.0,Sports,Electronic Arts,EA Canada,E,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0
Assassin's Creed III,Assassin's Creed,1,PS3,2012.0,10.0,Action,Ubisoft,Ubisoft,M,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0
Donkey Kong Country Returns,Donkey Kong Country Returns,1,Wii,2010.0,11.0,Platform,Nintendo,Retro Studios,E,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0
Halo: Combat Evolved,Halo,1,XB,2001.0,11.0,Shooter,Microsoft Game Studios,Bungie Software,M,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0
The Elder Scrolls V: Skyrim,The Elder Scrolls,1,PS3,2011.0,11.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0
Pokémon Emerald Version,Pokémon Emerald Version,0,GBA,2004.0,4.0,Role-Playing,Nintendo,Game Freak,E,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9,222.0
Kingdom Hearts,Kingdom Hearts,1,PS2,2002.0,9.0,Role-Playing,Sony Computer Entertainment,SquareSoft,E,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0
Pokémon Crystal Version,Pokémon Crystal Version,0,GB,2000.0,,Role-Playing,Nintendo,,,2.55,1.56,1.29,0.99,6.39,,,,
Halo 3: ODST,Halo,1,X360,2009.0,9.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0
Red Dead Redemption,Red Dead Redemption,1,X360,2010.0,5.0,Action,Take-Two Interactive,Rockstar San Diego,M,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9,2316.0
Super Mario Sunshine,Super Mario Sunshine,0,GC,2002.0,8.0,Platform,Nintendo,Nintendo,E,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0
Street Fighter II: The World Warrior,Street Fighter,1,SNES,1992.0,7.0,Fighting,Capcom,,,2.47,0.83,2.87,0.12,6.3,,,,
World of Warcraft,World of Warcraft,1,PC,2004.0,11.0,Role-Playing,Activision,Blizzard Entertainment,T,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0
Driver,Driver,1,PS,1999.0,6.0,Action,GT Interactive,Reflections Interactive,T,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0
Gears of War 3,Gears of War,1,X360,2011.0,9.0,Shooter,Microsoft Game Studios,Epic Games,M,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0
Kinect Sports,Kinect Sports,1,X360,2010.0,11.0,Sports,Microsoft Game Studios,Rare Ltd.,E10+,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0
Gears of War,Gears of War,1,X360,2006.0,11.0,Shooter,Microsoft Game Studios,Epic Games,M,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0
FIFA 15,FIFA,1,PS4,2014.0,9.0,Sports,Electronic Arts,EA Sports,E,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0
Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid,1,PS2,2001.0,11.0,Action,Konami Digital Entertainment,KCEJ,M,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0
Sonic the Hedgehog 2,Sonic the Hedgehog,1,GEN,1992.0,11.0,Platform,Sega,,,4.47,1.2,0.16,0.19,6.03,,,,
Metal Gear Solid,Metal Gear Solid,1,PS,1998.0,10.0,Action,Konami Digital Entertainment,KCEJ,M,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0
Metal Gear Solid 4: Guns of the Patriots,Metal Gear Solid,1,PS3,2008.0,6.0,Action,Konami Digital Entertainment,Kojima Productions,M,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0
Final Fantasy XII,Final Fantasy,1,PS2,2006.0,10.0,Role-Playing,Square Enix,Square Enix,T,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0
The Last of Us,The Last of Us,1,PS3,2013.0,6.0,Action,Sony Computer Entertainment Europe,Naughty Dog,M,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0
LittleBigPlanet,LittleBigPlanet,1,PS3,2008.0,10.0,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule",E,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0
Resident Evil 2,Resident Evil,1,PS,1998.0,1.0,Action,Virgin Interactive,Capcom,M,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0
Dragon Quest IX: Sentinels of the Starry Skies,Dragon Quest,1,DS,2009.0,7.0,Role-Playing,Nintendo,Level 5,E10+,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0
Tekken 2,Tekken,1,PS,1996.0,8.0,Fighting,Sony Computer Entertainment,Namco,T,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0
Destiny,Destiny,1,PS4,2014.0,9.0,Shooter,Activision,"Bungie Software, Bungie",T,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0
LEGO Star Wars: The Complete Saga,LEGO Star Wars,1,Wii,2007.0,11.0,Action,LucasArts,Traveller's Tales,E10+,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0
Cooking Mama,Cooking Mama,1,DS,2006.0,9.0,Simulation,505 Games,Taito Corporation,E,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0
